"","trend_type","label","years","CI_high","CI_low","LPI_final","sim"
"121","Concave Decrease","40%",1998,1.14882874307883,0.781815483918804,0.957714820082279,"median"
"122","Concave Decrease","40%",1999,1.13813823818413,0.775254879453289,0.946461630349452,"median"
"123","Concave Decrease","40%",2000,1.13410201067431,0.762516136275732,0.935572443734226,"median"
"124","Concave Decrease","40%",2001,1.13236195858959,0.759135281488852,0.92974068080708,"median"
"125","Concave Decrease","40%",2002,1.11218378791731,0.750290006999433,0.918307048095313,"median"
"126","Concave Decrease","40%",2003,1.10080394884451,0.739211914490356,0.90627086790099,"median"
"127","Concave Decrease","40%",2004,1.09679437216191,0.729816064545041,0.893422028316398,"median"
"128","Concave Decrease","40%",2005,1.06979551885895,0.715191932167011,0.875521428498173,"median"
"129","Concave Decrease","40%",2006,1.0426511210353,0.682223834333218,0.849477989773832,"median"
"130","Concave Decrease","40%",2007,1.0030287975991,0.660222107848651,0.825623276634687,"median"
"131","Concave Decrease","40%",2008,0.977647291404115,0.642086491180043,0.798815952703366,"median"
"132","Concave Decrease","40%",2009,0.941057144672376,0.607676090685693,0.774200636522021,"median"
"133","Concave Decrease","40%",2010,0.913089499978225,0.591640916813663,0.748983101470084,"median"
"134","Concave Decrease","40%",2011,0.893225166909072,0.578106403504895,0.72836796093886,"median"
"135","Concave Decrease","40%",2012,0.8644223282615,0.559546865377042,0.70068180532045,"median"
"136","Concave Decrease","40%",2013,0.826219202510273,0.535245944294936,0.67211819059789,"median"
"137","Concave Decrease","40%",2014,0.785812095838097,0.507078455664407,0.638602213362627,"median"
"138","Concave Decrease","40%",2015,0.740426648727204,0.480420146264671,0.603580061494966,"median"
"139","Concave Decrease","40%",2016,0.692257064304638,0.448015792633311,0.564217839252312,"median"
"140","Concave Decrease","40%",2017,0.649132284869007,0.411031148255394,0.52621938809009,"median"
"141","Concave Decrease","40%",2018,0.607410982702056,0.380652702107349,0.486977705055648,"median"
"142","Concave Decrease","40%",2019,0.571057941526388,0.350279759606408,0.452023753246731,"median"
"143","Concave Decrease","40%",2020,0.533751186534058,0.321677569559439,0.418896251587109,"median"
"144","Concave Decrease","40%",2021,0.533751186534058,0.321677569559439,0.418896251587109,"median"
"145","Concave Decrease","60%",1950,1,1,1,"median"
"146","Concave Decrease","60%",1951,1.09810004007999,0.913444022684271,1.00245830057846,"median"
"147","Concave Decrease","60%",1952,1.17999332876952,0.907556790080838,1.01661859777959,"median"
"148","Concave Decrease","60%",1953,1.21948825081682,0.906477733488459,1.03832978884345,"median"
"149","Concave Decrease","60%",1954,1.25437793731621,0.91021167363854,1.05639189870093,"median"
"150","Concave Decrease","60%",1955,1.27929921008705,0.922523509540468,1.07177507586437,"median"
"151","Concave Decrease","60%",1956,1.29862605842177,0.922911336181152,1.07693110999301,"median"
"152","Concave Decrease","60%",1957,1.28945831225786,0.912534855302163,1.07405564145205,"median"
"153","Concave Decrease","60%",1958,1.27561215831795,0.897767365697915,1.07030862136573,"median"
"154","Concave Decrease","60%",1959,1.26634150633049,0.885082950868136,1.06231714432524,"median"
"155","Concave Decrease","60%",1960,1.26713177411016,0.872875181859359,1.05658850414763,"median"
"156","Concave Decrease","60%",1961,1.25959046764315,0.875288452725887,1.05375930301873,"median"
"157","Concave Decrease","60%",1962,1.26385247647054,0.875789384911694,1.05180388990101,"median"
"158","Concave Decrease","60%",1963,1.30086154696064,0.879499585281467,1.05892583492187,"median"
"159","Concave Decrease","60%",1964,1.32686792273867,0.884898392584754,1.0680939369704,"median"
"160","Concave Decrease","60%",1965,1.35057384737174,0.887157535608871,1.074420676184,"median"
"161","Concave Decrease","60%",1966,1.37749930359859,0.914180537622923,1.08615062453136,"median"
"162","Concave Decrease","60%",1967,1.35902002986265,0.87937601733616,1.07800684070903,"median"
"163","Concave Decrease","60%",1968,1.35111454780866,0.877748964242499,1.0842030686899,"median"
"164","Concave Decrease","60%",1969,1.35228156080805,0.877318382350472,1.08229898137264,"median"
"165","Concave Decrease","60%",1970,1.3306311882549,0.873398778798122,1.06802377831965,"median"
"166","Concave Decrease","60%",1971,1.30554757745791,0.866393809807496,1.05762563959551,"median"
"167","Concave Decrease","60%",1972,1.30964062061905,0.853870026389874,1.04588546657672,"median"
"168","Concave Decrease","60%",1973,1.33207011398048,0.856176740622419,1.06627887750949,"median"
"169","Concave Decrease","60%",1974,1.34702030758062,0.848217597633218,1.05817774562751,"median"
"170","Concave Decrease","60%",1975,1.32963072144012,0.852012046953435,1.05612379337767,"median"
"171","Concave Decrease","60%",1976,1.32379506049021,0.840385501916963,1.04698642332973,"median"
"172","Concave Decrease","60%",1977,1.33211801840432,0.840371261517149,1.0428349385944,"median"
"173","Concave Decrease","60%",1978,1.33362674586387,0.826403902282241,1.03569913434516,"median"
"174","Concave Decrease","60%",1979,1.35111510889986,0.839003928700235,1.04251951867508,"median"
"175","Concave Decrease","60%",1980,1.32931717860907,0.831107182578274,1.03982936391789,"median"
"176","Concave Decrease","60%",1981,1.33001962289517,0.836895322731656,1.04210736455595,"median"
"177","Concave Decrease","60%",1982,1.33872621927879,0.83465238732607,1.0394389218249,"median"
"178","Concave Decrease","60%",1983,1.34416052429743,0.840464870316247,1.04442384271441,"median"
"179","Concave Decrease","60%",1984,1.3410980561454,0.850640501643142,1.05051390513521,"median"
"180","Concave Decrease","60%",1985,1.3526112262775,0.843760492831458,1.04223578188524,"median"
"181","Concave Decrease","60%",1986,1.35632619625226,0.838885121847597,1.04488523263243,"median"
"182","Concave Decrease","60%",1987,1.33618551108742,0.824323951168408,1.03352101093577,"median"
"183","Concave Decrease","60%",1988,1.31909144568162,0.804574782683795,1.01296099263471,"median"
"184","Concave Decrease","60%",1989,1.2871022997038,0.795043382325871,1.00134078359212,"median"
"185","Concave Decrease","60%",1990,1.25235067857773,0.778263407421483,0.97969397614154,"median"
"186","Concave Decrease","60%",1991,1.24776536301968,0.781487233084733,0.976665595047078,"median"
"187","Concave Decrease","60%",1992,1.26364151529219,0.782960871423387,0.984071249925867,"median"
"188","Concave Decrease","60%",1993,1.25316996027229,0.775530292030495,0.990197209884148,"median"
"189","Concave Decrease","60%",1994,1.25578481289282,0.780870403366124,0.997317625435454,"median"
"190","Concave Decrease","60%",1995,1.26767223201583,0.765928362129065,0.992116657123655,"median"
"191","Concave Decrease","60%",1996,1.24092713146406,0.743693917941898,0.968384777164521,"median"
"192","Concave Decrease","60%",1997,1.22615197305943,0.744655311926964,0.968044023757407,"median"
"193","Concave Decrease","60%",1998,1.23840808245331,0.73826739138014,0.958433782187633,"median"
"194","Concave Decrease","60%",1999,1.24424627540576,0.716845141241374,0.942516363349981,"median"
"195","Concave Decrease","60%",2000,1.21461266971355,0.712882130895528,0.92854226324638,"median"
"196","Concave Decrease","60%",2001,1.22142949207623,0.712780332414173,0.92833263991682,"median"
"197","Concave Decrease","60%",2002,1.22467788435244,0.714279964101148,0.918245433598498,"median"
"198","Concave Decrease","60%",2003,1.18937527456523,0.701863469355782,0.908598428169656,"median"
"199","Concave Decrease","60%",2004,1.1720129351603,0.686317440345857,0.895800245702512,"median"
"200","Concave Decrease","60%",2005,1.14041916712627,0.666778841888617,0.872820806766648,"median"
"201","Concave Decrease","60%",2006,1.11902061493939,0.633833554767485,0.846112165415638,"median"
"202","Concave Decrease","60%",2007,1.09887422907875,0.619624778263194,0.821397113847853,"median"
"203","Concave Decrease","60%",2008,1.06676395755073,0.607812273628138,0.799748448267727,"median"
"204","Concave Decrease","60%",2009,1.03644640027432,0.584888249127009,0.773313711278324,"median"
"205","Concave Decrease","60%",2010,0.996750569463489,0.568568134384297,0.746903847905249,"median"
"206","Concave Decrease","60%",2011,0.982937784710446,0.556667267943774,0.72786445760833,"median"
"207","Concave Decrease","60%",2012,0.943749094487612,0.53181744154109,0.70269868747572,"median"
"208","Concave Decrease","60%",2013,0.897942401267952,0.500728451327389,0.67338274157511,"median"
"209","Concave Decrease","60%",2014,0.822129689509004,0.470620097214312,0.635064261020218,"median"
"210","Concave Decrease","60%",2015,0.78446299967545,0.444438347198004,0.60123838975859,"median"
"211","Concave Decrease","60%",2016,0.744003726872354,0.415037325296458,0.561477843985521,"median"
"212","Concave Decrease","60%",2017,0.715511538176116,0.385534322023323,0.526095957830729,"median"
"213","Concave Decrease","60%",2018,0.663919549744714,0.359966483362661,0.488749673605859,"median"
"214","Concave Decrease","60%",2019,0.602541459815933,0.327565562065004,0.451790724882966,"median"
"215","Concave Decrease","60%",2020,0.602541459815933,0.308707130009327,0.42023679966281,"median"
"216","Concave Decrease","60%",2021,0.602541459815933,0.308707130009327,0.42023679966281,"median"
"217","Concave Decrease","80%",1950,1,1,1,"median"
"218","Concave Decrease","80%",1951,1.11078002804398,0.913444022684271,1,"median"
"219","Concave Decrease","80%",1952,1.24751338425388,0.884057326293081,1.01204140224873,"median"
"220","Concave Decrease","80%",1953,1.38794390926916,0.8900777133187,1.02651085807572,"median"
"221","Concave Decrease","80%",1954,1.51324852019233,0.903683845661591,1.04579210194103,"median"
"222","Concave Decrease","80%",1955,1.6136914344352,0.900451083089317,1.04710457484884,"median"
"223","Concave Decrease","80%",1956,1.60745373001293,0.904413959043467,1.05176237320323,"median"
"224","Concave Decrease","80%",1957,1.58054123973019,0.906221292640206,1.05017935374921,"median"
"225","Concave Decrease","80%",1958,1.57015706911007,0.890855894727091,1.04775551838029,"median"
"226","Concave Decrease","80%",1959,1.58960402818116,0.86851735191057,1.04202659016481,"median"
"227","Concave Decrease","80%",1960,1.59996822680341,0.860802188575137,1.04671591558786,"median"
"228","Concave Decrease","80%",1961,1.59344073676783,0.867898832547599,1.04350361759589,"median"
